t_s,linear_x,angular_z
26.414,0.25,-0.011018909448620917
26.465,0.25,-0.011612504218818244
26.514,0.25,-0.011285141319653854
26.567,0.25,-0.010912252368647657
26.614,0.25,-0.011872873369733092
26.663,0.25,-0.01184317110895268
26.714,0.25,-0.0117832930739479
26.764,0.25,-0.012294825342736536
26.814,0.25,-0.011958069108321537
26.864,0.25,-0.011714941488329947
26.914,0.25,-0.011092618119422503
26.964,0.25,-0.01043294614572332
27.015,0.25,-0.011739619495295804
27.064,0.25,-0.011326424507564317
27.114,0.25,-0.01074523076702306
27.164,0.25,-0.010536303719171407
27.214,0.25,-0.011064127961642958
27.264,0.25,-0.01097558154547986
27.314,0.25,-0.011031241256107228
27.363,0.25,-0.01064351054670677
27.414,0.25,-0.010904923386083957
27.464,0.25,-0.01105417859988382
27.514,0.25,-0.011411192214111807
27.569,0.25,-0.010618288536443572
27.614,0.25,-0.010796541475761109
27.664,0.25,-0.010917832669608529
27.714,0.25,-0.01097215946176636
27.764,0.25,-0.011833832496606432
27.814,0.25,-0.011827744285355414
27.864,0.25,-0.011784825870646854
27.914,0.25,-0.01086376651114108
27.963,0.25,-0.010969877790918403
28.014,0.25,-0.011252026789493748
28.064,0.25,-0.01135545594133628
28.115,0.25,-0.011043231127846517
28.165,0.25,-0.011184682597827908
28.214,0.25,-0.011176098700068806
28.264,0.25,-0.01116429776389939
28.313,0.25,-0.01082068747485195
28.364,0.25,-0.011637954246817302
28.414,0.25,-0.010450320650924886
28.464,0.25,-0.011464067196029078
28.514,0.25,-0.01152117570196772
28.568,0.25,-0.010760215678260748
28.613,0.25,-0.010610989200120428
28.664,0.25,-0.011110402631597757
28.713,0.25,-0.011128273726216272
28.764,0.25,-0.011217368829154707
28.814,0.25,-0.011373541603804611
28.864,0.25,-0.01155316815976093
28.914,0.25,-0.010967845295536911
28.964,0.25,-0.011839488942535573
29.014,0.25,-0.011887537644378127
29.064,0.25,-0.011690501088854787
29.114,0.25,-0.012116000014398479
29.165,0.25,-0.012850111735870761
29.214,0.25,-0.011930787421981356
29.264,0.25,-0.012943481491098899
29.314,0.25,-0.011194384623667517
29.364,0.25,-0.011711632443014465
29.414,0.25,-0.011590185157254209
29.464,0.25,-0.011789910531421697
29.514,0.25,-0.011065215833781181
29.567,0.25,-0.011707605864244037
29.614,0.25,-0.012296089355373921
29.664,0.25,-0.012156724963564222
29.714,0.25,-0.010861995365288344
29.764,0.25,-0.012455861620019633
29.814,0.25,-0.013185691636940184
29.865,0.25,-0.01174666069656034
29.914,0.25,-0.012047353309442491
29.964,0.25,-0.011839489861950056
30.014,0.25,-0.012276589616187614
